group,group_zh,order_type,run_id,step,new_class_id,new_class,forgotten_classes,forget_accuracy,UA,retain_accuracy,full_test_accuracy,class_0_accuracy,class_1_accuracy,class_2_accuracy,class_3_accuracy,class_4_accuracy,class_5_accuracy,class_6_accuracy,class_7_accuracy,class_8_accuracy,class_9_accuracy,class_10_accuracy,class_11_accuracy,class_12_accuracy,class_13_accuracy,class_14_accuracy,class_15_accuracy,class_16_accuracy,class_17_accuracy,class_18_accuracy,class_19_accuracy,class_20_accuracy,class_21_accuracy,class_22_accuracy,class_23_accuracy,class_24_accuracy,class_25_accuracy,class_26_accuracy,class_27_accuracy,class_28_accuracy,class_29_accuracy,class_30_accuracy,class_31_accuracy,class_32_accuracy,class_33_accuracy,class_34_accuracy,class_35_accuracy,class_36_accuracy,class_37_accuracy,class_38_accuracy,class_39_accuracy,class_40_accuracy,class_41_accuracy,class_42_accuracy,class_43_accuracy,class_44_accuracy,class_45_accuracy,class_46_accuracy,class_47_accuracy,class_48_accuracy,class_49_accuracy,class_50_accuracy,class_51_accuracy,class_52_accuracy,class_53_accuracy,class_54_accuracy,class_55_accuracy,class_56_accuracy,class_57_accuracy,class_58_accuracy,class_59_accuracy,class_60_accuracy,class_61_accuracy,class_62_accuracy,class_63_accuracy,class_64_accuracy,class_65_accuracy,class_66_accuracy,class_67_accuracy,class_68_accuracy,class_69_accuracy,class_70_accuracy,class_71_accuracy,class_72_accuracy,class_73_accuracy,class_74_accuracy,class_75_accuracy,class_76_accuracy,class_77_accuracy,class_78_accuracy,class_79_accuracy,class_80_accuracy,class_81_accuracy,class_82_accuracy,class_83_accuracy,class_84_accuracy,class_85_accuracy,class_86_accuracy,class_87_accuracy,class_88_accuracy,class_89_accuracy,class_90_accuracy,class_91_accuracy,class_92_accuracy,class_93_accuracy,class_94_accuracy,class_95_accuracy,class_96_accuracy,class_97_accuracy,class_98_accuracy,class_99_accuracy
large_omnivores_and_herbivores,大型雜食/草食動物,hardfirst,large_omni_hardfirst_seed1_k5,1,19,牛 / cattle (19),19,0.0,100.0,69.88888888888889,69.19,88.0,78.0,51.0,54.0,57.0,68.0,80.0,75.0,79.0,77.0,45.0,48.0,77.0,65.0,54.0,75.0,78.0,82.0,63.0,0.0,86.0,87.0,67.0,81.0,79.0,55.0,64.0,56.0,76.0,66.0,71.0,62.0,62.0,57.0,77.0,49.0,81.0,78.0,62.0,77.0,61.0,87.0,78.0,82.0,41.0,60.0,43.0,63.0,93.0,84.0,51.0,65.0,65.0,87.0,84.0,44.0,87.0,77.0,83.0,70.0,86.0,67.0,82.0,70.0,50.0,55.0,81.0,56.0,93.0,78.0,71.0,78.0,46.0,59.0,49.0,89.0,88.0,63.0,60.0,73.0,54.0,73.0,91.0,66.0,68.0,72.0,66.0,77.0,80.0,85.0,85.0,79.0,60.0,57.0,91.0,73.0,66.0,74.0,48.0,68.0
large_omnivores_and_herbivores,大型雜食/草食動物,hardfirst,large_omni_hardfirst_seed1_k5,2,38,袋鼠 / kangaroo (38),"19,38",0.0,100.0,70.45918367346938,69.05,88.0,79.0,54.0,50.0,65.0,69.0,82.0,71.0,81.0,79.0,43.0,47.0,80.0,64.0,52.0,75.0,79.0,80.0,61.0,0.0,86.0,85.0,68.0,79.0,77.0,55.0,64.0,53.0,75.0,64.0,66.0,66.0,63.0,61.0,78.0,51.0,82.0,80.0,0.0,78.0,61.0,87.0,73.0,83.0,43.0,64.0,49.0,66.0,93.0,83.0,54.0,71.0,64.0,88.0,84.0,42.0,89.0,76.0,88.0,71.0,88.0,65.0,80.0,73.0,51.0,57.0,82.0,53.0,93.0,78.0,73.0,77.0,42.0,58.0,50.0,91.0,89.0,65.0,61.0,74.0,61.0,74.0,93.0,70.0,69.0,71.0,68.0,78.0,79.0,83.0,84.0,77.0,60.0,57.0,91.0,72.0,63.0,75.0,51.0,70.0
large_omnivores_and_herbivores,大型雜食/草食動物,hardfirst,large_omni_hardfirst_seed1_k5,3,31,大象 / elephant (31),"19,38,31",0.0,100.0,70.63917525773196,68.52,87.0,79.0,57.0,59.0,61.0,69.0,82.0,75.0,81.0,76.0,46.0,46.0,81.0,65.0,56.0,74.0,79.0,80.0,64.0,0.0,86.0,85.0,67.0,79.0,81.0,56.0,64.0,56.0,75.0,66.0,68.0,0.0,62.0,59.0,77.0,50.0,81.0,78.0,0.0,78.0,61.0,86.0,76.0,86.0,45.0,68.0,45.0,63.0,94.0,84.0,51.0,67.0,69.0,88.0,84.0,43.0,84.0,77.0,87.0,69.0,86.0,66.0,82.0,73.0,53.0,56.0,81.0,59.0,93.0,77.0,70.0,79.0,46.0,56.0,48.0,92.0,87.0,62.0,62.0,71.0,57.0,74.0,92.0,68.0,70.0,70.0,69.0,76.0,78.0,87.0,82.0,79.0,59.0,56.0,91.0,73.0,65.0,77.0,47.0,71.0
large_omnivores_and_herbivores,大型雜食/草食動物,hardfirst,large_omni_hardfirst_seed1_k5,4,15,駱駝 / camel (15),"19,38,31,15",0.0,100.0,70.73958333333333,67.91,87.0,79.0,60.0,54.0,57.0,69.0,81.0,78.0,83.0,79.0,46.0,46.0,78.0,66.0,60.0,0.0,78.0,78.0,64.0,0.0,86.0,87.0,68.0,82.0,77.0,52.0,63.0,55.0,76.0,63.0,69.0,0.0,62.0,61.0,77.0,48.0,82.0,80.0,0.0,80.0,65.0,88.0,74.0,83.0,46.0,61.0,46.0,68.0,94.0,86.0,50.0,70.0,67.0,89.0,80.0,45.0,87.0,78.0,90.0,70.0,86.0,67.0,82.0,73.0,53.0,59.0,80.0,60.0,93.0,77.0,70.0,77.0,43.0,58.0,50.0,92.0,88.0,64.0,62.0,69.0,56.0,72.0,92.0,70.0,69.0,73.0,68.0,79.0,79.0,85.0,82.0,78.0,61.0,55.0,90.0,72.0,61.0,77.0,49.0,72.0
large_omnivores_and_herbivores,大型雜食/草食動物,hardfirst,large_omni_hardfirst_seed1_k5,5,21,黑猩猩 / chimpanzee (21),"19,38,31,15,21",0.0,100.0,70.56842105263158,67.04,87.0,80.0,56.0,54.0,57.0,71.0,81.0,79.0,86.0,81.0,45.0,48.0,79.0,66.0,59.0,0.0,76.0,80.0,64.0,0.0,86.0,0.0,68.0,80.0,81.0,56.0,65.0,53.0,72.0,68.0,66.0,0.0,65.0,60.0,75.0,45.0,83.0,78.0,0.0,81.0,64.0,88.0,74.0,86.0,45.0,66.0,46.0,65.0,93.0,83.0,53.0,70.0,64.0,89.0,83.0,43.0,88.0,79.0,86.0,69.0,86.0,67.0,82.0,72.0,52.0,57.0,79.0,60.0,93.0,79.0,71.0,79.0,38.0,55.0,50.0,90.0,88.0,63.0,61.0,72.0,61.0,70.0,90.0,69.0,70.0,72.0,70.0,80.0,79.0,84.0,83.0,79.0,59.0,56.0,89.0,76.0,62.0,74.0,53.0,69.0
vehicles_1,車輛 1,official,vehicles1_official_seed1_k5,1,8,腳踏車 / bicycle (8),8,0.0,100.0,69.85858585858585,69.16,89.0,80.0,53.0,49.0,56.0,67.0,79.0,76.0,0.0,79.0,47.0,47.0,79.0,66.0,53.0,76.0,77.0,80.0,61.0,65.0,84.0,85.0,68.0,81.0,76.0,53.0,60.0,58.0,75.0,66.0,66.0,65.0,62.0,60.0,77.0,49.0,82.0,76.0,62.0,78.0,62.0,88.0,73.0,85.0,45.0,63.0,50.0,67.0,91.0,83.0,57.0,69.0,66.0,90.0,82.0,39.0,84.0,78.0,86.0,69.0,86.0,65.0,80.0,69.0,51.0,58.0,81.0,56.0,94.0,80.0,72.0,78.0,46.0,58.0,50.0,89.0,90.0,64.0,59.0,69.0,52.0,72.0,91.0,67.0,68.0,71.0,68.0,79.0,79.0,84.0,82.0,76.0,61.0,57.0,91.0,73.0,62.0,76.0,53.0,70.0
vehicles_1,車輛 1,official,vehicles1_official_seed1_k5,2,13,公車 / bus (13),"8,13",11.0,89.0,70.35714285714286,69.17,89.0,79.0,62.0,52.0,58.0,71.0,77.0,70.0,22.0,78.0,49.0,45.0,77.0,0.0,53.0,76.0,76.0,81.0,63.0,64.0,85.0,85.0,68.0,82.0,79.0,52.0,63.0,54.0,74.0,68.0,70.0,65.0,65.0,60.0,75.0,51.0,80.0,79.0,64.0,78.0,65.0,88.0,74.0,83.0,50.0,65.0,50.0,63.0,93.0,84.0,51.0,68.0,64.0,88.0,83.0,41.0,86.0,76.0,90.0,70.0,88.0,68.0,81.0,70.0,52.0,58.0,80.0,57.0,92.0,78.0,73.0,79.0,45.0,58.0,50.0,89.0,89.0,62.0,60.0,73.0,56.0,81.0,94.0,68.0,70.0,71.0,66.0,83.0,77.0,83.0,81.0,76.0,60.0,57.0,91.0,74.0,63.0,76.0,47.0,70.0
vehicles_1,車輛 1,official,vehicles1_official_seed1_k5,3,48,摩托車 / motorcycle (48),"8,13,48",9.666666666666666,90.33333333333333,70.12371134020619,68.31,89.0,81.0,61.0,51.0,55.0,74.0,80.0,75.0,29.0,82.0,49.0,48.0,76.0,0.0,52.0,75.0,79.0,83.0,63.0,60.0,86.0,87.0,67.0,81.0,78.0,55.0,62.0,56.0,74.0,65.0,67.0,67.0,63.0,61.0,74.0,48.0,78.0,80.0,64.0,78.0,63.0,87.0,72.0,82.0,45.0,65.0,50.0,65.0,0.0,84.0,53.0,70.0,68.0,90.0,83.0,41.0,88.0,76.0,88.0,71.0,86.0,67.0,81.0,70.0,52.0,57.0,79.0,57.0,92.0,78.0,73.0,78.0,46.0,58.0,50.0,87.0,89.0,64.0,62.0,72.0,54.0,77.0,91.0,67.0,67.0,72.0,67.0,81.0,79.0,83.0,84.0,79.0,58.0,58.0,90.0,73.0,63.0,75.0,49.0,72.0
vehicles_1,車輛 1,official,vehicles1_official_seed1_k5,4,58,皮卡車 / pickup_truck (58),"8,13,48,58",10.25,89.75,70.28125,67.88,89.0,79.0,63.0,51.0,57.0,75.0,80.0,74.0,41.0,79.0,47.0,51.0,78.0,0.0,54.0,74.0,77.0,84.0,66.0,64.0,86.0,85.0,70.0,82.0,78.0,55.0,62.0,56.0,72.0,67.0,71.0,67.0,64.0,62.0,73.0,49.0,83.0,79.0,64.0,79.0,65.0,88.0,73.0,84.0,40.0,65.0,51.0,65.0,0.0,85.0,53.0,67.0,66.0,89.0,82.0,42.0,89.0,77.0,0.0,69.0,85.0,67.0,81.0,68.0,51.0,56.0,80.0,57.0,92.0,79.0,72.0,80.0,42.0,59.0,49.0,88.0,89.0,66.0,61.0,73.0,53.0,78.0,91.0,68.0,70.0,74.0,67.0,78.0,80.0,88.0,84.0,78.0,59.0,60.0,91.0,73.0,63.0,76.0,52.0,73.0
vehicles_1,車輛 1,official,vehicles1_official_seed1_k5,5,90,火車 / train (90),"8,13,48,58,90",8.6,91.4,70.10526315789474,67.03,89.0,80.0,60.0,49.0,59.0,74.0,79.0,76.0,43.0,79.0,44.0,47.0,79.0,0.0,55.0,72.0,74.0,83.0,69.0,65.0,87.0,84.0,67.0,82.0,79.0,55.0,67.0,54.0,74.0,65.0,68.0,68.0,65.0,63.0,74.0,49.0,82.0,77.0,63.0,79.0,62.0,87.0,74.0,83.0,46.0,62.0,49.0,64.0,0.0,84.0,53.0,71.0,69.0,88.0,80.0,43.0,88.0,79.0,0.0,70.0,86.0,68.0,81.0,71.0,51.0,59.0,78.0,55.0,93.0,80.0,70.0,80.0,44.0,56.0,47.0,92.0,88.0,66.0,61.0,73.0,56.0,82.0,90.0,66.0,70.0,79.0,67.0,77.0,81.0,88.0,0.0,76.0,60.0,57.0,91.0,74.0,61.0,75.0,52.0,72.0
vehicles_1,車輛 1,random,vehicles1_random_seed1_k5,1,48,摩托車 / motorcycle (48),48,0.0,100.0,69.96969696969697,69.27,88.0,83.0,59.0,49.0,55.0,71.0,75.0,74.0,84.0,79.0,48.0,48.0,77.0,65.0,50.0,75.0,80.0,80.0,64.0,63.0,84.0,85.0,65.0,81.0,77.0,56.0,63.0,57.0,75.0,64.0,66.0,66.0,62.0,59.0,75.0,50.0,83.0,78.0,65.0,78.0,60.0,87.0,72.0,83.0,46.0,64.0,49.0,67.0,0.0,84.0,53.0,70.0,66.0,89.0,79.0,41.0,88.0,75.0,87.0,68.0,86.0,65.0,78.0,66.0,52.0,56.0,79.0,58.0,92.0,81.0,72.0,77.0,43.0,55.0,51.0,92.0,89.0,65.0,61.0,73.0,55.0,74.0,92.0,69.0,71.0,71.0,67.0,78.0,81.0,84.0,84.0,77.0,59.0,58.0,91.0,75.0,64.0,76.0,52.0,74.0
vehicles_1,車輛 1,random,vehicles1_random_seed1_k5,2,8,腳踏車 / bicycle (8),"48,8",1.0,99.0,70.04081632653062,68.66,89.0,79.0,59.0,50.0,56.0,70.0,76.0,77.0,2.0,83.0,45.0,46.0,80.0,65.0,52.0,75.0,76.0,82.0,64.0,65.0,86.0,85.0,68.0,82.0,78.0,56.0,65.0,56.0,74.0,63.0,66.0,66.0,62.0,59.0,75.0,49.0,83.0,77.0,65.0,78.0,60.0,88.0,73.0,84.0,44.0,64.0,53.0,65.0,0.0,82.0,54.0,70.0,64.0,91.0,82.0,39.0,87.0,76.0,87.0,70.0,86.0,69.0,80.0,70.0,51.0,56.0,81.0,56.0,94.0,81.0,71.0,78.0,44.0,60.0,47.0,90.0,88.0,64.0,61.0,69.0,52.0,77.0,91.0,69.0,70.0,72.0,69.0,80.0,79.0,85.0,85.0,77.0,62.0,59.0,90.0,75.0,65.0,76.0,49.0,71.0
vehicles_1,車輛 1,random,vehicles1_random_seed1_k5,3,90,火車 / train (90),"48,8,90",9.666666666666666,90.33333333333333,69.82474226804123,68.02,89.0,79.0,59.0,52.0,53.0,70.0,78.0,71.0,29.0,81.0,46.0,47.0,80.0,64.0,53.0,74.0,75.0,82.0,68.0,66.0,86.0,84.0,66.0,81.0,79.0,58.0,64.0,52.0,75.0,65.0,67.0,66.0,62.0,59.0,74.0,47.0,80.0,75.0,64.0,79.0,59.0,87.0,74.0,84.0,47.0,66.0,48.0,69.0,0.0,84.0,51.0,71.0,69.0,90.0,81.0,44.0,87.0,77.0,87.0,72.0,84.0,70.0,80.0,72.0,49.0,57.0,79.0,56.0,93.0,77.0,71.0,77.0,42.0,57.0,47.0,88.0,86.0,65.0,59.0,70.0,57.0,76.0,91.0,66.0,70.0,78.0,69.0,78.0,80.0,85.0,0.0,78.0,61.0,59.0,91.0,75.0,64.0,76.0,52.0,71.0
vehicles_1,車輛 1,random,vehicles1_random_seed1_k5,4,13,公車 / bus (13),"48,8,90,13",10.25,89.75,70.25,67.85,88.0,79.0,61.0,51.0,60.0,71.0,79.0,78.0,41.0,80.0,45.0,45.0,79.0,0.0,53.0,73.0,80.0,80.0,66.0,67.0,86.0,86.0,65.0,82.0,78.0,54.0,64.0,54.0,73.0,65.0,69.0,67.0,66.0,59.0,77.0,49.0,80.0,77.0,64.0,78.0,61.0,90.0,72.0,83.0,47.0,66.0,52.0,65.0,0.0,86.0,52.0,72.0,66.0,89.0,82.0,42.0,86.0,76.0,88.0,69.0,88.0,67.0,81.0,70.0,52.0,58.0,81.0,58.0,92.0,81.0,71.0,78.0,42.0,63.0,47.0,88.0,87.0,64.0,61.0,70.0,58.0,78.0,93.0,70.0,69.0,74.0,69.0,81.0,78.0,86.0,0.0,78.0,62.0,59.0,91.0,73.0,63.0,76.0,47.0,68.0
vehicles_1,車輛 1,random,vehicles1_random_seed1_k5,5,58,皮卡車 / pickup_truck (58),"48,8,90,13,58",8.0,92.0,70.33684210526316,67.22,89.0,80.0,62.0,56.0,56.0,73.0,79.0,76.0,40.0,80.0,48.0,46.0,80.0,0.0,56.0,74.0,76.0,81.0,65.0,67.0,86.0,85.0,69.0,82.0,78.0,55.0,65.0,56.0,70.0,65.0,69.0,67.0,67.0,58.0,76.0,52.0,83.0,76.0,65.0,79.0,64.0,90.0,74.0,83.0,39.0,65.0,49.0,65.0,0.0,86.0,56.0,71.0,64.0,89.0,83.0,41.0,88.0,77.0,0.0,69.0,87.0,66.0,79.0,70.0,50.0,59.0,79.0,56.0,92.0,76.0,72.0,77.0,42.0,63.0,49.0,91.0,87.0,66.0,61.0,75.0,57.0,84.0,92.0,68.0,72.0,71.0,69.0,77.0,79.0,87.0,0.0,78.0,61.0,59.0,92.0,74.0,63.0,77.0,52.0,73.0
